Profession,Condition,Category,Observed,Expected,Standardized residual,Abs standardized residual
Social worker,Spanish_limited,N,0.0,0.6956521739130435,-0.834057656228299,0.834057656228299
Social worker,French_standard,M,231.0,194.43032329988853,2.622642663421322,2.622642663421322
Social worker,French_standard,F,5.0,40.78037904124861,-5.602983040646215,5.602983040646215
Social worker,French_standard,N,0.0,0.7892976588628763,-0.888424256120282,0.888424256120282
Social worker,French_limited,M,229.0,188.6633221850613,2.936678389923923,2.936678389923923
Social worker,French_limited,F,0.0,39.57079152731327,-6.290531895421346,6.290531895421346
Social worker,French_limited,N,0.0,0.7658862876254181,-0.8751492944780439,0.8751492944780439
Surgeon,Spanish_standard,M,243.0,244.5,-0.0959294219086619,0.0959294219086619
Surgeon,Spanish_standard,N,2.0,0.5,2.1213203435596424,2.1213203435596424
Surgeon,Spanish_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Surgeon,Spanish_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Surgeon,French_standard,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Surgeon,French_standard,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Surgeon,French_limited,M,245.0,244.5,0.03197647396955397,0.03197647396955397
Surgeon,French_limited,N,0.0,0.5,-0.7071067811865475,0.7071067811865475
Teacher,Spanish_standard,M,217.0,226.25,-0.6149608081659436,0.6149608081659436
Teacher,Spanish_standard,F,21.0,16.75,1.0384402770285943,1.0384402770285943
Teacher,Spanish_standard,N,7.0,2.0,3.5355339059327373,3.5355339059327373
Teacher,Spanish_limited,M,219.0,226.25,-0.48199630910303687,0.48199630910303687
Teacher,Spanish_limited,F,26.0,16.75,2.2601347205916467,2.2601347205916467
Teacher,Spanish_limited,N,0.0,2.0,-1.414213562373095,1.414213562373095
Teacher,French_standard,M,224.0,226.25,-0.14958506144577008,0.14958506144577008
Teacher,French_standard,F,20.0,16.75,0.7941013883159839,0.7941013883159839
Teacher,French_standard,N,1.0,2.0,-0.7071067811865475,0.7071067811865475
