STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC41,General and keyboard clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,510.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,674.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,253.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC42,Customer services clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,927.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,311.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,268.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC43,Numerical and material recording clerks,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,579.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,38.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,25.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC44,Other clerical support workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,63.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,2583.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,1727.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC5,Service and sales workers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,4310.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,545.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC51,Personal service workers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,437.6,,d,definition differs (see metadata),,
