Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
Spanish,standard,Flight attendant,15,230,0,0,245,245,0,245,0.000000,0.061224,0.938776,0.000000,-0.877551,FALSE,0.000000,0.061224,0.938776,0.000000,-0.877551,0.229904,0.030633,-0.937591,-0.817511,-28.647185,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,standard,Lawyer,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.000000,0.995918,0.000000,0.004082,0.995918,0.004065,0.004073,0.987935,1.000000,244.499489,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
Spanish,standard,Metal worker,240,5,0,0,245,245,0,245,0.000000,0.979592,0.020408,0.000000,0.959184,FALSE,0.000000,0.979592,0.020408,0.000000,0.959184,0.079967,0.018066,0.923774,0.994593,53.092147,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,standard,Nurse,14,216,15,0,245,245,0,245,0.000000,0.057143,0.881633,0.061224,-0.824490,FALSE,0.000000,0.057143,0.881633,0.061224,-0.824490,0.258992,0.032513,-0.888215,-0.760765,-25.358589,0.000000,0.000568,TRUE,230,0.000000,TRUE,No smoothing used.
Spanish,standard,Personal care worker,223,0,20,2,245,243,2,245,0.008163,0.917695,0.000000,0.082305,0.917695,FALSE,0.000000,0.917695,0.000000,0.082305,0.917695,0.075530,0.017630,0.883141,0.952250,52.052377,0.000000,0.000568,TRUE,223,0.000000,TRUE,No smoothing used.
Spanish,standard,Pilot,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.000000,0.995918,0.000000,0.004082,0.995918,0.004065,0.004073,0.987935,1.000000,244.499489,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
Spanish,standard,Police Officer,210,9,26,0,245,245,0,245,0.000000,0.857143,0.036735,0.106122,0.820408,FALSE,0.000000,0.857143,0.036735,0.106122,0.820408,0.220808,0.030021,0.761568,0.879248,27.327860,0.000000,0.000568,TRUE,219,0.000000,TRUE,No smoothing used.
Spanish,standard,Politician,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.000000,0.991837,0.000000,0.008163,0.991837,0.008097,0.005749,0.980570,1.000000,172.532606,0.000000,0.000568,TRUE,243,0.000000,TRUE,No smoothing used.
Spanish,standard,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Receptionist,5,240,0,0,245,245,0,245,0.000000,0.020408,0.979592,0.000000,-0.959184,FALSE,0.000000,0.020408,0.979592,0.000000,-0.959184,0.079967,0.018066,-0.994593,-0.923774,-53.092147,0.000000,0.000568,TRUE,245,0.000000,TRUE,No smoothing used.
Spanish,standard,Secretary,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.000000,0.995918,0.000000,0.004082,0.995918,0.004065,0.004073,0.987935,1.000000,244.499489,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
Spanish,standard,Social worker,209,12,3,21,245,224,21,245,0.085714,0.933036,0.053571,0.013393,0.879464,FALSE,0.000000,0.933036,0.053571,0.013393,0.879464,0.213150,0.030847,0.819005,0.939924,28.510172,0.000000,0.000568,TRUE,221,0.000000,TRUE,No smoothing used.
Spanish,standard,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
Spanish,standard,Surgeon,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.000000,0.991837,0.000000,0.008163,0.991837,0.008097,0.005749,0.980570,1.000000,172.532606,0.000000,0.000568,TRUE,243,0.000000,TRUE,No smoothing used.
Spanish,standard,Teacher,217,21,7,0,245,245,0,245,0.000000,0.885714,0.085714,0.028571,0.800000,FALSE,0.000000,0.885714,0.085714,0.028571,0.800000,0.331429,0.036780,0.727912,0.872088,21.750941,0.000000,0.000568,TRUE,238,0.000000,TRUE,No smoothing used.
Spanish,standard,Therapist,242,0,3,0,245,245,0,245,0.000000,0.987755,0.000000,0.012245,0.987755,FALSE,0.000000,0.987755,0.000000,0.012245,0.987755,0.012095,0.007026,0.973984,1.000000,140.582123,0.000000,0.000568,TRUE,242,0.000000,TRUE,No smoothing used.
