Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
Spanish,limited,Flight attendant,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002028,0.995943,0.002028,-0.993915,0.010105,0.006422,-1.000000,-0.981328,-154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Metal worker,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002028,0.995943,0.002028,-0.993915,0.010105,0.006422,-1.000000,-0.981328,-154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Personal care worker,223,0,22,0,245,245,0,245,0.000000,0.910204,0.000000,0.089796,0.910204,FALSE,0.500000,0.906694,0.002028,0.091278,0.904665,0.090303,0.019199,0.867037,0.942294,47.121643,0.000000,0.000568,TRUE,223,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Police Officer,237,8,0,0,245,245,0,245,0.000000,0.967347,0.032653,0.000000,0.934694,FALSE,0.500000,0.963489,0.034483,0.002028,0.929006,0.134919,0.023467,0.883012,0.975000,39.588092,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Politician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Receptionist,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002028,0.995943,0.002028,-0.993915,0.010105,0.006422,-1.000000,-0.981328,-154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
